date,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,XEM,XTZ,BSV,MKR,ATOM,LEO,LINK,HT,MIN,INNBCL,STO,TAGZ5,CRO,HEX,DOT
20200424,0.562970106649578,0.418605662831139,0.149904121897099,0.624549439587128,0.186896167350938,0.26693545994306,0.0951913431620958,0.188844368117894,0,0,0.218626080167789,0,0,0.213170836024898,0,0,0.158714049374113,0.120613630915513,0,0,0,0.222165138438621,0,0,0.00837746855870839,0,0.0788598873586152,0,0,0
20200425,0.562151781955749,0.404602072380229,0.0777731021730214,0.622519205595725,0.185415975456414,0.385182791143538,0.0719816354758539,0.231376475828274,0,0,0.185156357353184,0,0,0.175223318098699,0,0,0.265985688959033,0.119607271414669,0,0,0,0.215694236339495,0,0,0.020273956317179,0,0.0713088430447628,0,0,0
20200426,0.567009244008803,0.200293147106707,0.198485579959864,0.517022914953437,0.187544153827999,0.26269182126529,0.0664766630756583,0.332148606987,0,0,0.602626505788311,0,0,0.193019132045483,0,0,0.338143124793678,0.124559965106281,0,0,0,0.229408088058566,0,0,0.00940200720687036,0,0.0730300004738509,0,0,0
20200427,0.566226926994487,0.383472451475619,0.181902676366648,0.677813595306941,0.099378383590471,0.307925164612963,0.0781270565539795,0.240391280537846,0,0,0.205072097242002,0,0,0.1792071214673,0,0,0.43801740706352,0.0896122806200739,0,0,0,0.21801321844822,0,0,0.0196301779437052,0,0.0698713166322295,0,0,0
20200428,0.560217730627816,0.0708277895600337,0.19641863374576,0.497670056018818,0.153409702341849,0.412328783332764,0.109918783048102,0.196759033184706,0,0,0.290191064114189,0,0,0.178561506654463,0,0,0.368881470404297,0.208061988965435,0,0,0,0.256115407044664,0,0,0.0201051184068585,0,0.0696688203463594,0,0,0
20200429,0.550921900336786,0.353250443389762,0.0623918028362201,0.60521479748436,0.104792834302897,0.30951848779681,0.1161334305387,0.281949980405234,0,0,0.613916839780335,0,0,0.176129438636416,0,0,0.331909310380873,0.0877585654692575,0,0,0,0.225721744702863,0,0,0.0220817467315019,0,0.0697035506003532,0,0,0
20200430,0.579373903044769,0.307743989721277,0.326392838379784,0.606074042746965,0.0757470763480503,0.408050326751797,0.148288845601918,0.450305002835328,0,0,0.362436166097023,0,0,0.174935163705768,0,0,0.320908638645728,0.0508492704116849,0,0,0,0.223241319264967,0,0,0.0110124770383404,0,0.0670391304160918,0,0,0
20200501,0.560066217517504,0.362730141805183,0.291008236733936,0.607498532039976,0.0764039461577729,0.419808920802765,0.18179349791157,0.454197080745665,0,0,0.600277549911149,0,0,0.172922670599088,0,0,0.332219589993282,0.0508248985850208,0,0,0,0.226643119007598,0,0,0.0126792871055793,0,0.0688938529739376,0,0,0
20200502,0.545769577347061,0.343390492445107,0.298996923125651,0.5039169639415,0.0761295926299629,0.144917781259825,0.188286459318427,0.147998671041623,0,0,0.596229600963539,0,0,0.17535148233803,0,0,0.451692179012025,0.0499471591631358,0,0,0,0.233100583050365,0,0,0.0120785063093797,0,0.116974641865395,0,0,0
20200503,0.549491137855282,0.375928586067626,0.290752439486976,0.495822947830902,0.0907270680254931,0.276169471234136,0.187366387056597,0.268389900675334,0,0,0.568367504000263,0,0,0.170445400373259,0,0,0.469541075643385,0.0553549953215028,0,0,0,0.238240943486433,0,0,0.0126879637795005,0,0.0534908050800087,0,0,0
20200504,0.559667647429668,0.320592806922639,0.313561149224404,0.659782650849906,0.116037632247178,0.29726516991587,0.388548109780734,0.0696497430864285,0,0.33463288151563,0,0,0,0.0955246805635996,0,0,0.454661104679884,0.244034704441666,0,0,0,0.456883182498618,0,0,0.0120044008822166,0,0.0886350048857576,0,0,0
